APN,MINORITY_OWNED,FEMALE_OWNED,RECORDID,BUSDESC,B1_PER_SUB_TYPE,DBA,NAICS,TAX_CODE,EMPLOYEE_NUM,BUS_OWN_TYPE,B1_STATE,B1_FULL_ADDRESS,B1_SITUS_STATE
ZZZZZZZZZZZZZ,,,BL-012471,GENERAL CONTRACTOR,Construction or Contractor,TINKA CONSTRUCTION,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
,,,BL-003668,CONSTRUCTION,Construction or Contractor,CAL WEST CONCRETE INC,"238190 - Other Foundation, Structure, and Building Exterior Contractors",C,3.0,Corporation,CA,0 VARIOUS,CA
,,,BL-004762,ROOFING,Construction or Contractor,1 N DONE ROOFING SERVICES,238160 - Roofing Contractors,C,4.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-052025,SIGN CONTRACTOR,Construction or Contractor,SIGNTECH ELECTRICAL ADVERTISIN,238990 - All Other Specialty Trade Contractors,C,2.0,Sole Ownership,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-009901,ELECTRICAL/UNDERGROUND CONTRACTOR,Construction or Contractor,ST FRANCIS ELECTRIC LLC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,3.0,Corporation,CA,0 VARIOUS,CA
,,,BL-006619,GENERAL CONTRACTOR,Construction or Contractor,JUPITER CONSTRUCTION AND MAINTENANCE,236118 - Residential Remodelers,C,25.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012650,GENERAL CONTRACTOR,Construction or Contractor,BERNALES CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-006448,CONTRACTOR,Construction or Contractor,HH GREEN REMODEL,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-003410,ATTORNEY,Professional SemiProfessional,"CALEB RUSH, ATTORNEY",541110 - Offices of Lawyers,P,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-006279,HVAC CONTRACTOR,Construction or Contractor,88 HVAC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007017,JANITOR,Business Personal Repair Svs,DE ALBA,561720 - Janitorial Services,B,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-050710,FIRE PROTECTION CONTRACTOR,Construction or Contractor,R LOWY FIRE PROTECTION INC,238990 - All Other Specialty Trade Contractors,C,2.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-044489,GENERAL CONTRACTOR,Construction or Contractor,BASELINE HOMES INC,236118 - Residential Remodelers,C,1.0,Corporation,CA,0   VARIOUS,CA
,,,BL-005298,GENERAL CONTRACTOR,Construction or Contractor,MICHAEL MCFADDEN CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-003856,MASONRY CONSTRUCTION,Construction or Contractor,PACIFIC BAY MASONRY INC,238140 - Masonry Contractors,C,41.0,Corporation,CA,0 VARIOUS,CA
,,,BL-004759,POPSICLE TRUCK,Retail Trade,SOLIMAN PROJECTS LLC,445299 - All Other Specialty Food Stores,R,1.0,LLC,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-044175,HEALTHCARE IMAGING,Manufacturing,CARESTREAM HEALTH INC,333315,M,0.0,Corporation,NY,0   VARIOUS,CA
,,,BL-012077,CONSULTING,Professional SemiProfessional,ANGELES JOEL,541690 - Other Scientific and Technical Consulting Services,P,1.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-005449,ROOFING CONTRACTOR,Construction or Contractor,BARTH ROOFING COMPANY INC,238160 - Roofing Contractors,C,20.0,Corporation,CA,0 VARIOUS,CA
,,,BL-001116,GENERAL CONTRACTOR,Construction or Contractor,KEN KING GENERAL CONSTRUCTION,236118 - Residential Remodelers,C,1.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-000978,ATTIC INSULATION,Construction or Contractor,A STEP AHEAD,236118 - Residential Remodelers,C,1.0,LLC,CA,0 VARIOUS,CA
,,,BL-006849,PROVIDING HANDYMAN STYLE SERVICES,Business Personal Repair Svs,BERKELEY RENTAL PROPERTY MAINTENANCE,561790 - Other Services to Buildings and Dwellings,B,1.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-009402,FOOD TRUCK,Retail Trade,THE EVEREST MOMO LLC,722513 - Limited-Service Restaurants,R,1.0,LLC,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-034261,FIRE PROTECTION,Construction or Contractor,BAY CITIES PYROTECTOR INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,4.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-042392,HEATING & A/C CONTRACTOR,Construction or Contractor,SARONI HEATING & AC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007947,ROOFING CONSTRUCTION,Construction or Contractor,PROTECTION ROOFING,238160 - Roofing Contractors,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,Yes,BL-053012,FOOD PRODUCTS,Wholesale Trade,MONDELEZ GLOBAL LLC,424490,W,0.0,LLC,IL,0   VARIOUS,CA
,,,BL-005512,CONTRACTOR,Construction or Contractor,FOX LOOMIS INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,13.0,Corporation,CA,0 VARIOUS,CA
,,Yes,BL-003474,MAINTENANCE GARDENING,Business Personal Repair Svs,DINA BLACKWELL,561730 - Landscaping Services,B,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-009012,"YOGA CLASSES, WORKSHOPS & PRIVATE CLIENTS",Entertainment Recreation,ADA LUSARDI YOGA,713940 - Fitness and Recreational Sports Centers,E,1.0,Sole Ownership,CA,0 VARIOUS,CA
,No,No,BL-007645,RETAIL SALE OF EYEWEAR,Retail Trade,WARBY PARKER,446130 - Optical Goods Stores,R,12.0,Corporation,NY,1911 FOURTH ST 100,CA
ZZZZZZZZZZZZZ,,,BL-008769,GENERAL CONTRACTOR,Construction or Contractor,KEITH M WEBSTER CONSTRUCTION INC,236118 - Residential Remodelers,C,8.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011118,VEGETARIAN MEALS - FOOD TRUCK,Retail Trade,HELPING FOOD LLC,722513 - Limited-Service Restaurants,R,1.0,LLC,CA,0 VARIOUS,CA
,,,BL-001074,PLUMBING CONTRACTOR,Construction or Contractor,K E P PLUMBING INC.,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,3.0,Corporation,CA,0 VARIOUS,CA
,,,BL-003424,GENERAL CONTRACTOR,Construction or Contractor,HE & KUANG INC.,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011773,REINFORCING STEEL CONTRACTOR,Construction or Contractor,PACIFIC STEEL GROUP,238120 - Structural Steel and Precast Concrete Contractors,C,6.0,Corporation,CA,0 VARIOUS,CA
,,,BL-006149,CONSTRUCTION,Construction or Contractor,NAVRO INC,236118 - Residential Remodelers,C,6.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-012846,COPIER SALES & SERVICE,Business Personal Repair Svs,RICOH USA INC,541611 - Administrative Management and General Management Consulting Services,B,0.0,Corporation,TX,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012428,GENRAL CONTRACTORS,Construction or Contractor,ABM GEOCONSTRUCTORS INC,236118 - Residential Remodelers,C,7.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-032312,ROOF CONTRACTOR,Construction or Contractor,CROWN RIDGE ROOFING INC,238160 - Roofing Contractors,C,3.0,Corporation,CA,0   VARIOUS,CA
,,,BL-005450,CLEANING SERVICE,Business Personal Repair Svs,CARLOS ADAME CLEANING SERVICE,561720 - Janitorial Services,B,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-006348,CONSTRUCTION,Construction or Contractor,AMV CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,No,No,BL-047543,ENGINEERING CONTRACTOR,Construction or Contractor,G FERRABEE CO,238990 - All Other Specialty Trade Contractors,C,5.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011532,FENCE CONTRACTORS,Construction or Contractor,UNITED FENCE SERVICES INC,238990 - All Other Specialty Trade Contractors,C,5.0,Corporation,CA,0 VARIOUS,CA
,,,BL-009110,CATERING,Retail Trade,OLD DAMASCUS FARE,722320 - Caterers,R,3.0,LLC,CA,0 VARIOUS,CA
059 232601501,,,BL-012379,CATERING,Retail Trade,ARGAMAK LLC,722320 - Caterers,R,15.0,LLC,CA,1451 FIFTH ST,CA
,,,BL-001671,MOBILE APP-COURIERS,Professional SemiProfessional,POSTMATES INC,541511 - Custom Computer Programming Services,P,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,Yes,No,BL-052552,ARCHITECTURE/ENGINEERING CONSULTANT,Professional SemiProfessional,ALLANA BUICK & BERS INC,541330 - Engineering Services,P,120.0,Corporation,CA,0   VARIOUS,CA
,,,BL-006319,REMODELING,Construction or Contractor,DAVID SPARKS CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-042574,LANDSCAPER,Business Personal Repair Svs,MONET'S GARDEN,561730 - Landscaping Services,B,1.0,Sole Ownership,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-050454,GENEREAL CONTRACTOR,Construction or Contractor,MC NABB CONSTRUCTION INC,236118 - Residential Remodelers,C,3.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-023066,GENERAL CONTRACTOR,Construction or Contractor,THE CHELSEA CO,236116 - New Multifamily Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,No,No,BL-049497,SOFTWARE VENDOR,Manufacturing,NEXTGEN HEALTHCARE INFO SYSTEM,511210 - Software Publishers,M,0.0,LLC,CA,0   VARIOUS,CA
,,,BL-001383,SOLAR PV AND ELECTRICAL CONTRACTOR,Construction or Contractor,ELITE ELECTRIC INC.,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-008315,ROOFING SERVICES,Construction or Contractor,REGEVIG ROOFING,238160 - Roofing Contractors,C,5.0,Corporation,CA,0 VARIOUS,CA
,Yes,Yes,BL-019653,RES RENTAL PROPERTY/6 UNITS,Rental of Real Property,MA HUANG CHENG,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,Sole Ownership,CA,2708   HASTE ST,CA
ZZZZZZZZZZZZZ,,,BL-007691,JANITORIAL MAINTENANCE,Business Personal Repair Svs,MAGIC TOUCH MAINTENANCE,561720 - Janitorial Services,B,4.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012651,REMODEL CONTRACTOR,Construction or Contractor,D P BUILDERS,236118 - Residential Remodelers,C,1.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007069,GENERAL CONTRACTOR,Construction or Contractor,READY 2 SERVE HANDYMAN LLC,236118 - Residential Remodelers,C,0.0,LLC,CA,0 VARIOUS,CA
,,,BL-005939,RESIDENTIAL REMODELERS,Construction or Contractor,GREEN PLANET CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007155,CONSTRUCTION,Construction or Contractor,J U V INC,236118 - Residential Remodelers,C,11.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011441,PLUMBING,Construction or Contractor,HERNANDEZ PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-004563,ANIMAL WELFARE ORGANIZATION,Non Profit Organizations,PAW FUND,812990 - All Other Personal Services,N,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-052534,NON-PROFIT ADVOCACY,Non Profit Organizations,LIVABLE BERKELEY,813319 - Other Social Advocacy Organizations,N,0.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-009689,CONSTRUCTION,Construction or Contractor,ALEXANDER CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-048897,GENERAL CONTRACTOR,Construction or Contractor,BRUCE TEEL ASSOCIATES,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0   VARIOUS,CA
056 194000500,No,No,BL-046531,COMPUTER REPAIR & SALES,Retail Trade,GEEK TECH WORLD,443120,R,0.0,Partnership,CA,840   CHANNING WAY,CA
ZZZZZZZZZZZZZ,Yes,No,BL-024032,ROOFING CONTRACTOR,Construction or Contractor,INTERSTATE ROOFING SPECIALISTS,238160 - Roofing Contractors,C,3.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-000815,GENERAL CONSTRUCTION,Construction or Contractor,BUSHVELD CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-050063,GENERAL CONTRACTOR,Construction or Contractor,XTRA HAND,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-044950,ROOFING CONTRACTOR,Construction or Contractor,EASTWIND ROOFING,238160 - Roofing Contractors,C,2.0,Sole Ownership,CA,0   VARIOUS,CA
052 152302500,,,BL-001758,BRONZE SCULPTURE,Retail Trade,ONYX V CRIMBIL,453920 - Art Dealers,R,0.0,Sole Ownership,CA,1628 SIXTY-THIRD ST,CA
,,,BL-004186,CONSTRUCTION/REMODELING,Construction or Contractor,ESPINOSA AND SON GENERAL CONTRACTOR INC,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
,,,BL-009364,ROOFING CONTRACTOR,Construction or Contractor,EAST BAY ROOFING SOLUTIONS LLC,238160 - Roofing Contractors,C,4.0,LLC,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,Yes,No,BL-054074,TAXI SERVICE,Auto Vehicle For Hire,POWER CAB,485310 - Taxi Service,A,2.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-002761,GENERAL CONTRACTOR,Construction or Contractor,WEST COAST HOODS/HVAC INC.,236118 - Residential Remodelers,C,2.0,Corporation,CA,0 VARIOUS,CA
,,,BL-005933,INSTALLATION OF FIBER OPTIC CABLES,Construction or Contractor,DALEO INC,237130 - Power and Communication Line and Related Structures Construction,C,40.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012393,DEMO & REROOFING,Construction or Contractor,ECONOMY ROOFING & REPAIRS INC,238160 - Roofing Contractors,C,4.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-006537,STEEL ERECTION,Construction or Contractor,MARTINS STEEL WORKS INC,238120 - Structural Steel and Precast Concrete Contractors,C,4.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012185,PLUMBING,Construction or Contractor,FITO PLUMBERS INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,4.0,Corporation,CA,0 VARIOUS,CA
,,,BL-009115,HOME REMODELING,Construction or Contractor,AMERICAN HOME RENOVATION INC,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-022005,ARCHITECT,Professional SemiProfessional,THE RATCLIFF ARCHITECTS,541310 - Architectural Services,P,57.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011941,ELECTRICAL CONTRACTOR,Construction or Contractor,NEW MILLENNIUM ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-044248,FIRE PROTECTION,Construction or Contractor,CINTAS FIRE PROTECTION,238990 - All Other Specialty Trade Contractors,C,3.0,Corporation,OH,0   VARIOUS,CA
,,,BL-005823,COMMERCIAL CONTRACTOR,Construction or Contractor,US GLASS INC,238150 - Glass and Glazing Contractors,C,17.0,Corporation,CA,0 VARIOUS,CA
,,,BL-002170,PLUMBER,Construction or Contractor,WILLIAM CRUZ PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-051980,GENERAL CONTRACTOR,Construction or Contractor,VALLEY IRON WORKS INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2.0,Corporation,CA,0   VARIOUS,CA
,,,BL-006474,GENERAL CONTRACTOR,Construction or Contractor,CARO CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-052502,ROOFING,Construction or Contractor,BAILEY ROOFING,238160 - Roofing Contractors,C,0.0,Sole Ownership,CA,0   VARIOUS,CA
060 249201201,No,Yes,BL-001389,BOOK SALES,Retail Trade,SHOPPING FOR THE REAL YOU,451211 - Book Stores,R,1.0,Sole Ownership,CA,6 SUMMIT LN,CA
ZZZZZZZZZZZZZ,No,Yes,BL-051875,GRANTS MANAGEMENT (CONSULTING),Administrative Headquarters,KLINGENSMITH ENTERPRISES INC,561110 - Office Administrative Services,Q,1.0,Corporation,MO,0   VARIOUS,CA
,No,No,BL-004863,RESIDENTIAL RC-ROOFING SPECIALIST,Construction or Contractor,ACKER ROOFING,238160 - Roofing Contractors,C,5.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-044753,WOMENS CLOTHING,Retail Trade,JIGSAW USA INC,448120 - Women's Clothing Stores,R,4.0,Corporation,CA,0   VARIOUS,CA
058 217500101,,,BL-011768,HAIR STYLIST,Business Personal Repair Svs,REAMS KATRINA,812112 - Beauty Salons,B,0.0,Sole Ownership,CA,1700 SHATTUCK AVE,CA
057 209802700,No,Yes,BL-008110,LEADERSHIP COACH & CONSULTANT FOR COMPANIES,Professional SemiProfessional,BE PLUCKY,541611 - Administrative Management and General Management Consulting Services,P,1.0,LLC,CA,807 DELAWARE ST 3-8,CA
,,,BL-003356,HVAC/ REFRIGERATION CONTRACTOR,Construction or Contractor,C R S,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,6.0,Corporation,CA,0 VARIOUS,CA
061 260300400,No,No,BL-017726,GENERAL CONTRACTOR,Construction or Contractor,JAMES A. INMAN CONSTRUCTION,236116 - New Multifamily Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,908   THE ALAMEDA,CA
052 154801200,,,BL-006640,RENTAL PROPERTY,Rental of Real Property,KEDRUN MARINA & DREYFUSS PHILIP,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1821 FAIRVIEW ST,CA
ZZZZZZZZZZZZZ,No,No,BL-050142,AUTO/VEHICLE REPAIR/BODY WORK,Business Personal Repair Svs,GOLDEN GATE TRUCK CENTER,"811121 - Automotive Body, Paint, and Interior Repair and Maintenance",B,74.0,Corporation,CA,0   VARIOUS,CA
,,,BL-001329,SUBCONTRACTOR OF CERAMIC TILE IN COMMERCIAL PROPERTIES,Construction or Contractor,ZILLS TILE INC,238340 - Tile and Terrazzo Contractors,C,5.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-006935,ONLINE STORE,Retail Trade,THESIS GEMS AND JEWELRY,454111 - Electronic Shopping,R,0.0,Sole Ownership,CA,0 VARIOUS,CA
,Yes,Yes,BL-049627,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,HAMDILLAH LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2.0,LLC,CA,2801   COLLEGE AVE,CA
ZZZZZZZZZZZZZ,Yes,Yes,BL-050846,GENERAL CONSTRUCTION,Construction or Contractor,ERGOWIZ,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2.0,Sole Ownership,CA,0   VARIOUS,CA
061 257100307,,,BL-011354,REAL ESTATE BROKERAGE,Professional SemiProfessional,GOLDEN GATE SOTHEBY'S INTERNATIONAL REALTY,531390 - Other Activities Related to Real Estate,P,1.0,LLC,CA,1995 EL DORADO AVE,CA
052 143500500,Yes,Yes,BL-001661,RESIDENTIAL RENTAL 7 UNITS,Rental of Real Property,BROOKS DARNIS,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1630   SIXTY-SECOND ST,CA
053 162501200,Yes,No,BL-033040,RESIDENTIAL RENTAL 4 UNITS,Rental of Real Property,SYLVESTER JOHN,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1327   HASKELL ST,CA
061 256203200,No,No,BL-053288,IT CONSULTING,Professional SemiProfessional,TECHNOLOGY HOUSE CALL,541519 - Other Computer Related Services,P,1.0,Sole Ownership,CA,1197   SUTTER ST,CA
ZZZZZZZZZZZZZ,No,No,BL-042112,H.V.A.C.,Construction or Contractor,MATRIX HG INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,88.0,Corporation,CA,0   VARIOUS,CA
060 241606700,,,BL-005901,TECHNICAL WRITING CONSULTANT,Professional SemiProfessional,JX CONSULTING INC,541490 - Other Specialized Design Services,P,1.0,Corporation,CA,1327 PERALTA AVE,CA
ZZZZZZZZZZZZZ,,,BL-009849,CONSTRUCTION: ASBESTO REMOVAL,Construction or Contractor,STERLING ENVIRONMENTAL CORPORATION,238990 - All Other Specialty Trade Contractors,C,6.0,Corporation,CA,0 VARIOUS,CA
,,,BL-002438,GENERAL CONSTRUCTION,Construction or Contractor,MARCOS LEON CONSTRUCTION INC,236118 - Residential Remodelers,C,2.0,Corporation,CA,0 VARIOUS,CA
052 157700200,No,No,BL-013978,GROCERY STORE,Grocer,WHOLE FOODS MARKET CALIFORNIA,445110 - Supermarkets and Other Grocery (except Convenience) Stores,G,177.0,Corporation,TX,3000   TELEGRAPH AVE,CA
ZZZZZZZZZZZZZ,No,No,BL-052988,GENERAL CONTRACTOR,Construction or Contractor,GEHL DESIGN/ BUILD,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,3.0,Sole Ownership,CA,0   VARIOUS,CA
056 197901600,,,BL-007033,"GREEN COFFEE SOURING, IMPORTING & WHOLESALE",Wholesale Trade,RED FOX COFFEE MERCHANTS,424490 - Other Grocery and Related Products Merchant Wholesalers,W,5.0,LLC,CA,2051 SAN PABLO AVE,CA
059 232400300,No,No,BL-010705,RUBBER STAMP MFG WHOLESALE,Manufacturing,PENNY BLACK RUBBER STAMPS,339943,M,8.0,Corporation,CA,1444   FOURTH ST,CA
054 171400700,No,Yes,BL-000221,CHIROPRACTIC PRACTICE,Professional SemiProfessional,FLOW CHIROPRACTIC & FAMILY WELLNESS CENTER,621310 - Offices of Chiropractors,P,0.0,Sole Ownership,CA,2718 TELEGRAPH AVE 210,CA
056 193400900,Yes,Yes,BL-042275,SENIOR CARE FACILITY - CAPACITY 10,Professional SemiProfessional,GOLDEN OASIS,623312 - Assisted Living Facilities for the Elderly,P,0.0,Sole Ownership,CA,2312   TENTH ST,CA
,No,No,BL-004253,CREDIT BUREAU,Business Personal Repair Svs,EQUIFAX CREDIT INFO SERVICES,561450 - Credit Bureaus,B,0.0,Corporation,GA,0   VARIOUS,CA
,No,No,BL-031991,ADMIN OFFICE,Administrative Headquarters,LIVING TREE COMMUNITY FOODS,561110 - Office Administrative Services,Q,11.0,Corporation,CA,1760   SOLANO AVE,CA
